ADNA ,BDNA,ZDNA,TriplexDNA,QuadraplexDNA,OtherdsDNA
1XJX,4U9M,,,2MS9,452D
1XJY,4MNB,,,2MAY,1L4J
1XUW,2MMF,,,2MS6,1LUH
1XUX,2MMQ,,,2MJJ,1NOQ
1PWF,2MMR,,,2MB2,1NP5
1VAQ,2MMS,,,4U92,1K2L
1R3Z,4PWM,,,4R44,1L6B
1R3G,4QC7,,,4R45,1D7Z
1NZG,4U8A,,,4R47,481D
1M77,4U8B,,,2MFU,1JUC
1MA8,4U8C,,,4WO3,1HZS
1MLX,4KWX,,,2MFT,1QPY
1KGK,4R48,,,4WO2,1EG6
1IH2,4R49,,,2M6W,1DL8
1IH3,4R4A,,,2M6V,1F6I
1IH4,4R4D,,,2MB4,1F6J
1IH6,2MNX,,,2LYG,1QKG
1I0F,2MNB,,,2MGN,467D
1I0G,4M3V,,,2MCO,1DCW
1I0J,2MO2,,,2MCC,1C9Z
1I0K,2MO7,,,2M27,1DC0
1I0M,2MND,,,2MBJ,454D
1I0N,2MNE,,,2M53,1CR3
1I0O,2MNF,,,2MB3,427D
1I0P,2MH6,,,4H29,473D
1I0Q,4O5W,,,2M8Z,376D
1I5W,4O5X,,,2M90,1C95
1G00,4O5Y,,,2M91,482D
1F6E,4O5Z,,,2M92,1QDA
1DNZ,4OCD,,,2M93,1CYZ
1DPL,2MHX,,,2M4P,1B3P
382D,2MHZ,,,2M1G,465D
414D,2MAV,,,4DA3,459D
1QPH,2MG8,,,4DAQ,1A2E
399D,2MJX,,,3UYH,366D
440D,2RT8,,,4FXM,378D
441D,4L24,,,4G0F,375D
410D,4J2I,,,2LXQ,385D
411D,2MCI,,,2LXV,381D
412D,2MCJ,,,2LK7,380D
368D,2M3P,,,3T86,386D
369D,2M3Y,,,2LOD,1AGL
370D,2M40,,,2LED,1AIO
371D,2M43,,,2LEE,1PUP
372D,2M44,,,3TVB,308D
401D,4HW1,,,2LPW,282D
395D,4I9V,,,3R6R,288D
396D,4MGW,,,2LBY,276D
383D,4MKW,,,3SC8,277D
384D,2LZV,,,3T5E,278D
363D,2LZW,,,3QXR,1IMR
348D,4C5X,,,3QSC,1IMS
349D,4C63,,,3QSF,231D
344D,4C64,,,2L7V,1DDP
345D,4HLI,,,2LE6,245D
346D,4GJU,,,2LD8,215D
343D,4GLC,,,2L88,234D
337D,4GLG,,,2KZD,235D
338D,4GLH,,,2KZE,236D
339D,4BZT,,,3NYP,224D
340D,4BZU,,,3NZ7,214D
341D,4BZV,,,2KYO,198D
342D,4III,,,2KYP,182D
317D,4KW0,,,2KPR,154D
320D,4HQI,,,2KKA,151D
321D,2M11,,,2KQG,152D
318D,4F3U,,,2KQH,
319D,4B8D,,,2WCN,1DA0
322D,2M54,,,2KOW,1D67
323D,4IJ0,,,2KM3,2DES
324D,4ITD,,,2KKK,1D54
325D,3U2N,,,2K8Z,110D
326D,4E8S,,,2K90,1DA9
327D,4E8X,,,2K97,1D58
295D,2LLJ,,,2KF7,
281D,2LWM,,,2KF8,
260D,2LWN,,,3EUI,1D32
240D,2LWO,,,3EUM,1D33
257D,2LWG,,,3EM2,1D36
254D,2LWH,,,3EQW,1D37
275D,2M2C,,,3ERU,1D38
256D,4D9X,,,3ES0,2D34
232D,4D9Y,,,3ET8,1D35
243D,3UYB,,,3CCO,1D15
212D,4AGZ,,,3CDM,1D21
220D,4AH0,,,2JSL,1D22
221D,4AH1,,,2JSQ,1D17
213D,4H5A,,,2JSK,1D11
238D,2LL9,,,2JSM,1D12
207D,2LSF,,,3CE5,1D10
146D,3U05,,,2JWQ,1D14
199D,3U08,,,2JT7,
187D,3U0U,,,2E4I,
188D,2LIA,,,2JPZ,
189D,3TOK,,,2GWE,
197D,2LIB,,,2GWQ,
172D,2LG2,,,2O3M,
160D,2LG3,,,2O4F,
140D,2LSC,,,2GW0,
142D,2LHO,,,2HRI,
2D94,3U38,,,2HY9,
2D95,2LFX,,,2IDN,
137D,2LFY,,,2F8U,
138D,2LG0,,,2HBN,
1D91,4E1U,,,2GKU,
1D92,2LSZ,,,2CHJ,
1D93,2LT0,,,2CHK,
115D,4F2X,,,2AVH,
1D90,3UBI,,,2AVJ,
1D68,2LBI,,,2AQY,
1D78,2LFA,,,2AKG,
1D79,2L8I,,,2A5P,
116D,3T8P,,,2A5R,
117D,2LGM,,,1XCE,
118D,3NAO,,,1XAV,
1D82,3U89,,,1Y8D,
1D26,3QF8,,,1YBL,
2D47,3QRN,,,1YBN,
28DN,3OPI,,,1YBR,
1D13,2L2V,,,1U64,
1DNS,1VTD,,,1V3N,
5ANA,1VTE,,,1V3O,
1VJ4,1VTJ,,,1V3P,
3ANA,2RRQ,,,1OZ8,
9DNA,2RRR,,,1NYD,
1DN6,3Q5C,,,1S45,
2ANA,3NP6,,,1S47,
1ANA,3NX5,,,1RDE,
,3AJJ,,,1NZM,
,3AJK,,,1QYK,
,3AJL,,,1QYL,
,3R86,,,1QZL,
,2L8P,,,1R2O,
,2L8Q,,,1Q2T,
,3PBX,,,1NP9,
,2KV0,,,1N96,
,3OIE,,,1O0K,
,2L2U,,,1L1H,
,3L1Q,,,1MF5,
,3IXN,,,1MYQ,
,3OMJ,,,1M6A,
,3LPV,,,1LVS,
,3N4N,,,1JPQ,
,3N4O,,,1JRN,
,2KUZ,,,1K8P,
,2KY7,,,1KF1,
,3GJK,,,1CN0,
,3GJL,,,1EL2,
,3GJH,,,1ELN,
,3GJJ,,,1C38,
,3FX8,,,1C32,
,2KTT,,,1C34,
,3GGI,,,1C35,
,3GGK,,,1BQJ,
,2KH5,,,294D,
,2KH6,,,352D,
,3FT6,,,284D,
,3FL6,,,241D,
,2KH3,,,244D,
,2KH0,,,225D,
,2KH1,,,230D,
,2KH7,,,200D,
,2KH8,,,184D,
,3EY0,,,190D,
,2KNK,,,191D,
,2KNL,,,143D,
,3GBI,,,156D,
,3IGT,,,139D,
,3I5L,,,1D59,
,3I5E,,,,
,2KK5,,,,
,2K67,,,,
,2K68,,,,
,2K69,,,,
,3EIL,,,,
,2KAR,,,,
,2KAS,,,,
,3GSJ,,,,
,3GSK,,,,
,3EY3,,,,
,2KD9,,,,
,2KDA,,,,
,3GOJ,,,,
,3GOM,,,,
,3GOO,,,,
,3GNK,,,,
,2ROU,,,,
,2KAL,,,,
,2K0T,,,,
,2K0U,,,,
,2K0V,,,,
,2K1Y,,,,
,3BSE,,,,
,2KAZ,,,,
,2K8T,,,,
,2K8U,,,,
,2K4L,,,,
,2JYK,,,,
,3CO3,,,,
,3C2J,,,,
,2QEF,,,,
,2QEG,,,,
,2I5A,,,,
,2RF3,,,,
,2P8D,,,,
,2PIS,,,,
,2NLM,,,,
,2V3L,,,,
,2Z2G,,,,
,2Z2H,,,,
,2VAH,,,,
,2VAI,,,,
,2I2I,,,,
,2GVR,,,,
,2NPW,,,,
,2NQ0,,,,
,2NQ1,,,,
,2NQ4,,,,
,2HOU,,,,
,2HPX,,,,
,2HSK,,,,
,2HSL,,,,
,2HSR,,,,
,2HSS,,,,
,2GYX,,,,
,2O4Y,,,,
,2GOT,,,,
,2DP7,,,,
,2DPB,,,,
,2DPC,,,,
,2GJB,,,,
,2ORF,,,,
,2ORG,,,,
,2ORH,,,,
,2F1Q,,,,
,2HMD,,,,
,2HMR,,,,
,2OKS,,,,
,2O1I,,,,
,2DYW,,,,
,2ICZ,,,,
,2HKB,,,,
,2HKC,,,,
,2B2B,,,,
,2HLI,,,,
,1X2O,,,,
,1X2S,,,,
,1X2U,,,,
,1X2V,,,,
,1X2X,,,,
,1X2Y,,,,
,1X2Z,,,,
,1X30,,,,
,2GE2,,,,
,2GWA,,,,
,1ZYF,,,,
,1ZYG,,,,
,1ZYH,,,,
,2FIH,,,,
,2FII,,,,
,2GB9,,,,
,1X26,,,,
,2G1Z,,,,
,1Z8V,,,,
,2AF1,,,,
,1YCT,,,,
,1YCW,,,,
,2A2T,,,,
,2B0K,,,,
,2B3E,,,,
,1S9O,,,,
,1ZPH,,,,
,1ZPI,,,,
,2B1D,,,,
,1XCI,,,,
,1Z5T,,,,
,1XCS,,,,
,1XCU,,,,
,1Z3F,,,,
,1VE8,,,,
,1SK5,,,,
,1WQY,,,,
,1WQZ,,,,
,1ZEW,,,,
,1ZF0,,,,
,1ZF5,,,,
,1ZF7,,,,
,1ZFB,,,,
,1ZFC,,,,
,1ZFE,,,,
,1ZFG,,,,
,1ZFH,,,,
,1ZFM,,,,
,1ZFF,,,,
,1ZEZ,,,,
,1ZF2,,,,
,1ZF3,,,,
,1ZF4,,,,
,1TQR,,,,
,1Y9H,,,,
,1R68,,,,
,1S37,,,,
,1SY8,,,,
,1S2R,,,,
,1SS7,,,,
,1SSV,,,,
,1VZK,,,,
,1TUQ,,,,
,1X95,,,,
,1S9B,,,,
,1QV4,,,,
,1QV8,,,,
,1S1K,,,,
,1RMX,,,,
,1RN9,,,,
,1U6N,,,,
,1U6O,,,,
,1PG9,,,,
,1PGC,,,,
,1PQQ,,,,
,1SP6,,,,
,1SSJ,,,,
,1S88,,,,
,1SM5,,,,
,1RQY,,,,
,1OPQ,,,,
,1OQ2,,,,
,1UAB,,,,
,1PYJ,,,,
,1S0T,,,,
,1S74,,,,
,1S75,,,,
,1S23,,,,
,1SGS,,,,
,1RVH,,,,
,1RVI,,,,
,1QXB,,,,
,1JUX,,,,
,1LP7,,,,
,1P24,,,,
,1P25,,,,
,1P26,,,,
,1ONM,,,,
,1N1N,,,,
,1OSR,,,,
,1P4Y,,,,
,1P4Z,,,,
,1P54,,,,
,1M69,,,,
,1ON5,,,,
,1NAJ,,,,
,1HQ7,,,,
,1NGO,,,,
,1NGU,,,,
,1N5C,,,,
,1P20,,,,
,1K8J,,,,
,1K8L,,,,
,1K8N,,,,
,1MXJ,,,,
,1NEV,,,,
,1NGT,,,,
,367D,,,,
,1NAB,,,,
,1NVN,,,,
,1NVY,,,,
,1N8C,,,,
,1I47,,,,
,1NT8,,,,
,1N4E,,,,
,1NQS,,,,
,1N37,,,,
,1G5K,,,,
,1GJ1,,,,
,1N0K,,,,
,1N0O,,,,
,1LU5,,,,
,1N1O,,,,
,1M6F,,,,
,1N2W,,,,
,1N1K,,,,
,1N14,,,,
,1N17,,,,
,1LWA,,,,
,1MK6,,,,
,1MKL,,,,
,1MTG,,,,
,1MXK,,,,
,1JTL,,,,
,1K2Z,,,,
,1I1P,,,,
,1KVH,,,,
,1JVE,,,,
,1KSE,,,,
,1LEJ,,,,
,1ILC,,,,
,1G6D,,,,
,1LAI,,,,
,1LAQ,,,,
,1LAS,,,,
,1DVL,,,,
,1KXS,,,,
,1KCI,,,,
,1KSB,,,,
,1G3V,,,,
,1K9G,,,,
,1IHH,,,,
,1CS7,,,,
,1IKK,,,,
,1J8L,,,,
,1I3T,,,,
,1JGR,,,,
,1IH1,,,,
,1FHY,,,,
,1FHZ,,,,
,1FTD,,,,
,1G75,,,,
,1G8N,,,,
,1G8U,,,,
,1G8V,,,,
,1FQ2,,,,
,1FN1,,,,
,1FN2,,,,
,1EN3,,,,
,1EN8,,,,
,1EN9,,,,
,1ENE,,,,
,1FMQ,,,,
,1FMS,,,,
,1F69,,,,
,1F6C,,,,
,1FD5,,,,
,1FDG,,,,
,1DUF,,,,
,1EHV,,,,
,453D,,,,
,358D,,,,
,1ENN,,,,
,1DCV,,,,
,1QL5,,,,
,1DPN,,,,
,1EI4,,,,
,447D,,,,
,1D8G,,,,
,1EDR,,,,
,1QSX,,,,
,442D,,,,
,443D,,,,
,444D,,,,
,445D,,,,
,448D,,,,
,449D,,,,
,1CVX,,,,
,1CVY,,,,
,456D,,,,
,457D,,,,
,1D3R,,,,
,1DOU,,,,
,432D,,,,
,1DCR,,,,
,1D8X,,,,
,1D9R,,,,
,3KBD,,,,
,4KBD,,,,
,423D,,,,
,424D,,,,
,425D,,,,
,1CW9,,,,
,1QMS,,,,
,455D,,,,
,463D,,,,
,431D,,,,
,1QCH,,,,
,476D,,,,
,477D,,,,
,478D,,,,
,458D,,,,
,1QP5,,,,
,1QC1,,,,
,460D,,,,
,461D,,,,
,1DSM,,,,
,446D,,,,
,2KBD,,,,
,1KBD,,,,
,474D,,,,
,426D,,,,
,436D,,,,
,407D,,,,
,408D,,,,
,428D,,,,
,335D,,,,
,360D,,,,
,403D,,,,
,388D,,,,
,389D,,,,
,365D,,,,
,355D,,,,
,304D,,,,
,305D,,,,
,306D,,,,
,334D,,,,
,286D,,,,
,287D,,,,
,285D,,,,
,330D,,,,
,329D,,,,
,328D,,,,
,261D,,,,
,297D,,,,
,311D,,,,
,307D,,,,
,309D,,,,
,302D,,,,
,303D,,,,
,298D,,,,
,289D,,,,
,296D,,,,
,290D,,,,
,291D,,,,
,263D,,,,
,272D,,,,
,271D,,,,
,265D,,,,
,266D,,,,
,270D,,,,
,267D,,,,
,268D,,,,
,269D,,,,
,251D,,,,
,206D,,,,
,233D,,,,
,258D,,,,
,250D,,,,
,249D,,,,
,253D,,,,
,252D,,,,
,1LEX,,,,
,1LEY,,,,
,237D,,,,
,226D,,,,
,1DXA,,,,
,227D,,,,
,218D,,,,
,208D,,,,
,108D,,,,
,202D,,,,
,144D,,,,
,107D,,,,
,109D,,,,
,103D,,,,
,194D,,,,
,264D,,,,
,196D,,,,
,183D,,,,
,101D,,,,
,159D,,,,
,195D,,,,
,102D,,,,
,274D,,,,
,166D,,,,
,178D,,,,
,175D,,,,
,167D,,,,
,171D,,,,
,158D,,,,
,150D,,,,
,141D,,,,
,132D,,,,
,153D,,,,
,121D,,,,
,129D,,,,
,127D,,,,
,1PRP,,,,
,128D,,,,
,130D,,,,
,126D,,,,
,122D,,,,
,123D,,,,
,119D,,,,
,1D83,,,,
,1D62,,,,
,1D97,,,,
,113D,,,,
,1D99,,,,
,112D,,,,
,111D,,,,
,1D80,,,,
,1D89,,,,
,114D,,,,
,1D77,,,,
,1D86,,,,
,1D85,,,,
,1D69,,,,
,1CGC,,,,
,1D60,,,,
,1D61,,,,
,1DA3,,,,
,1D98,,,,
,1D65,,,,
,1D75,,,,
,1D64,,,,
,1D63,,,,
,1D81,,,,
,1D56,,,,
,1D57,,,,
,1NDN,,,,
,1D49,,,,
,1D29,,,,
,1D30,,,,
,1D43,,,,
,1D44,,,,
,1D45,,,,
,1D46,,,,
,1D31,,,,
,1D28,,,,
,1D27,,,,
,5DNB,,,,
,1D23,,,,
,1D18,,,,
,1D19,,,,
,1D20,,,,
,1DNM,,,,
,2DBE,,,,
,2D25,,,,
,1BDN,,,,
,9BNA,,,,
,1DN9,,,,
,1BD1,,,,
,3DNB,,,,
,4DNB,,,,
,1DNH,,,,
,2DND,,,,
,1DNE,,,,
,8BNA,,,,
,7BNA,,,,
,6BNA,,,,
,5BNA,,,,
,3BNA,,,,
,4BNA,,,,
,2BNA,,,,
,1BNA,,,,
